Species	Accession	Clade
Adalia bipunctata	GCA_910591895.1	metazoa
Aethina tumida	GCA_024364635.1	metazoa
Aethina tumida	GCA_024364675.1	metazoa
Aethina tumida	GCA_024364675.1	metazoa
Agelastica alni	GCA_950111635.1	metazoa
Agrilus planipennis	GCA_000699045.2	metazoa
Agriotes lineatus	GCA_940337035.1	metazoa
Agrypnus murinus	GCA_929113105.1	metazoa
Agrypnus murinus	GCA_929114945.1	metazoa
Anaspis maculata	GCA_949128115.1	metazoa
Anthonomus grandis grandis	GCA_022605725.3	metazoa
Anthonomus grandis grandis	GCA_022605725.3	metazoa
Anthonomus grandis grandis	GCA_022605985.2	metazoa
Apoderus coryli	GCA_911728435.2	metazoa
Brassicogethes aeneus	GCA_921294245.1	metazoa
Bruchidius siliquastri	GCA_949316355.1	metazoa
Cantharis flavilabris	GCA_949152465.1	metazoa
Cantharis flavilabris	GCA_949152385.1	metazoa
Cantharis rustica	GCA_911387815.1	metazoa
Cantharis rustica	GCA_911387805.1	metazoa
Cetonia aurata	GCA_949128085.1	metazoa
Ceutorhynchus assimilis	GCA_917834065.1	metazoa
Chrysolina oricalcia	GCA_944452925.1	metazoa
Coccinella septempunctata	GCA_907165205.1	metazoa
Coccinella septempunctata	GCA_907165185.1	metazoa
Crepidodera aurea	GCA_949320105.1	metazoa
Crepidodera aurea	GCA_949319345.1	metazoa
Dascillus cervinus	GCA_949768715.1	metazoa
Dendroctonus ponderosae	GCA_000355655.1	metazoa
Diabrotica balteata	GCA_918026665.1	metazoa
Diabrotica virgifera virgifera	GCA_917563875.2	metazoa
Diabrotica virgifera virgifera	GCA_003013835.2	metazoa
Halyzia sedecimguttata	GCA_937616445.1	metazoa
Halyzia sedecimguttata	GCA_937662695.1	metazoa
Harpalus rufipes	GCA_951394325.1	metazoa
Lagria hirta	GCA_947359425.1	metazoa
Lagria hirta	GCA_947359435.1	metazoa
Leistus spinibarbis	GCA_933228885.1	metazoa
Leistus spinibarbis	GCA_933228875.1	metazoa
Leptinotarsa decemlineata	GCA_000500325.2	metazoa
Lochmaea capreae	GCA_949126875.1	metazoa
Lochmaea capreae	GCA_949126855.1	metazoa
Malachius bipustulatus	GCA_910589415.1	metazoa
Malachius bipustulatus	GCA_910589365.1	metazoa
Malthinus flaveolus	GCA_950108345.1	metazoa
Melolontha melolontha	GCA_935421255.1	metazoa
Melolontha melolontha	GCA_935421215.1	metazoa
Nebria brevicollis	GCA_944738965.1	metazoa
Nebria brevicollis	GCA_944739395.1	metazoa
Nebria salina	GCA_944039245.1	metazoa
Nebria salina	GCA_944039265.1	metazoa
Ocypus olens	GCA_910593695.1	metazoa
Ocypus olens	GCA_910593855.1	metazoa
Onthophagus taurus	GCA_000648695.2	metazoa
Ophonus ardosiacus	GCA_943138245.1	metazoa
Ophonus ardosiacus	GCA_943142095.1	metazoa
Phaedon cochleariae	GCA_918026855.1	metazoa
Philonthus cognatus	GCA_932526585.1	metazoa
Philonthus cognatus	GCA_932526485.1	metazoa
Philonthus cognatus	GCA_932526585.2	metazoa
Phosphuga atrata	GCA_944588485.1	metazoa
Phosphuga atrata	GCA_944567605.1	metazoa
Phyllotreta striolata	GCA_918026865.1	metazoa
Platypus cylindrus	GCA_949748235.1	metazoa
Podabrus alpinus	GCA_932273715.1	metazoa
Podabrus alpinus	GCA_932274525.1	metazoa
Polydrusus cervinus	GCA_935413205.1	metazoa
Polydrusus cervinus	GCA_935413225.1	metazoa
Psylliodes chrysocephala	GCA_927349885.1	metazoa
Pterostichus madidus	GCA_911728425.1	metazoa
Pterostichus madidus	GCA_911728475.1	metazoa
Pterostichus madidus	GCA_911728475.2	metazoa
Pyrochroa serraticornis	GCA_905333035.1	metazoa
Pyrochroa serraticornis	GCA_905333025.2	metazoa
Rhagonycha fulva	GCA_905340355.1	metazoa
Rhagonycha fulva	GCA_905340395.1	metazoa
Rutpela maculata	GCA_936432065.1	metazoa
Rutpela maculata	GCA_936432065.2	metazoa
Rutpela maculata	GCA_936443135.1	metazoa
Sitophilus oryzae	GCA_002938485.2	metazoa
Tribolium madens	GCA_015345945.1	metazoa
Acrocera orbiculus	GCA_947359355.1	metazoa
Anopheles aquasalis	GCA_943734665.1	metazoa
Anopheles atroparvus	GCA_914969975.1	metazoa
Anopheles bellator	GCA_943735745.1	metazoa
Anopheles coustani	GCA_943734705.1	metazoa
Anopheles cruzii	GCA_943734635.1	metazoa
Anopheles darlingi	GCA_943734745.1	metazoa
Anopheles gambiae	GCA_943734735.1	metazoa
Anopheles maculipalpis	GCA_943734695.1	metazoa
Anopheles marshallii	GCA_943734725.1	metazoa
Anopheles nili	GCA_943737925.1	metazoa
Anopheles ziemanni	GCA_943734765.1	metazoa
Baccha elongata	GCA_951217075.1	metazoa
Baccha elongata	GCA_951217065.1	metazoa
Bactrocera dorsalis	GCA_023373825.1	metazoa
Bactrocera dorsalis	GCA_000789215.2	metazoa
Bactrocera latifrons	GCA_001853355.1	metazoa
Bactrocera neohumeralis	GCA_024586455.2	metazoa
Bactrocera tryoni	GCA_016617805.2	metazoa
Bellardia bayeri	GCA_950370525.1	metazoa
Bellardia pandia	GCA_916048285.2	metazoa
Bellardia pandia	GCA_916050155.1	metazoa
Beris chalybata	GCA_949128065.1	metazoa
Beris chalybata	GCA_949128145.1	metazoa
Bibio marci	GCA_910594885.1	metazoa
Bibio marci	GCA_910594895.1	metazoa
Bombylius discolor	GCA_939192795.1	metazoa
Bombylius discolor	GCA_939192785.1	metazoa
Bombylius major	GCA_932526495.1	metazoa
Bombylius major	GCA_932526615.1	metazoa
Brachyopa scutellaris	GCA_949775065.1	metazoa
Calliphora vomitoria	GCA_942486075.2	metazoa
Calliphora vomitoria	GCA_942486075.1	metazoa
Calliphora vomitoria	GCA_942486065.1	metazoa
Ceratitis capitata	GCA_000347755.4	metazoa
Chalcosyrphus nemorum	GCA_949715665.1	metazoa
Chalcosyrphus nemorum	GCA_949716465.1	metazoa
Cheilosia soror	GCA_948107745.1	metazoa
