Scientific name	Accession	Clade
Pleuronectes platessa	GCA_947347685.1	metazoa
Protodeltote pygarga	GCA_936440985.2	metazoa
Protodeltote pygarga	GCA_936450705.2	metazoa
Protophormia terraenovae	GCA_951394005.1	metazoa
Protophormia terraenovae	GCA_951394085.1	metazoa
Pseudoips prasinana	GCA_951640165.1	metazoa
Pseudoliparis sp. Yap Trench	GCA_004335475.1	metazoa
Rutpela maculata	GCA_936432065.2	metazoa
Salmo salar	GCA_021399835.1	metazoa
Sarcophaga caerulescens	GCA_927399465.1	metazoa
Sarcophaga caerulescens	GCA_927399425.1	metazoa
Sarcophaga rosellei	GCA_930367195.1	metazoa
Sarcophaga rosellei	GCA_930367235.1	metazoa
Sarcophaga subvicina	GCA_936440885.1	metazoa
Sarcophaga subvicina	GCA_936449025.1	metazoa
Sarcophaga subvicina	GCA_936440885.2	metazoa
Sarcophaga variegata	GCA_932276125.1	metazoa
Sarcophilus harrisii	GCA_902635505.1	metazoa
Schistocerca americana	GCA_021461395.2	metazoa
Schistocerca cancellata	GCA_023864275.2	metazoa
Schistocerca gregaria	GCA_023897955.2	metazoa
Schistocerca nitens	GCA_023898315.2	metazoa
Schistocerca piceifrons	GCA_021461385.2	metazoa
Schistocerca serialis cubense	GCA_023864345.3	metazoa
Scrobipalpa costella	GCA_949820665.1	metazoa
Sphenella marginata	GCA_951509705.1	metazoa
Sphenella marginata	GCA_951509765.1	metazoa
Stomorhina lunata	GCA_933228635.1	metazoa
Stomorhina lunata	GCA_933228675.1	metazoa
Synanthedon formicaeformis	GCA_945859765.1	metazoa
Syngnathus scovelli	GCA_024217435.4	metazoa
Syritta pipiens	GCA_905147025.1	metazoa
Telmatherina bonti	GCA_933228915.1	metazoa
Thera obeliscata	GCA_947581545.1	metazoa
Tholera decimalis	GCA_943138885.2	metazoa
Triplophysa dalaica	GCA_015846415.1	metazoa
Trisateles emortualis	GCA_947095545.1	metazoa
Tursiops truncatus	GCA_011762595.1	metazoa
Villa cingulata	GCA_951394055.1	metazoa
Vitis vinifera	GCA_910591555.1	eukarya
Xanthorhoe spadicearia	GCA_947086435.1	metazoa
Xestia sexstrigata	GCA_941918905.2	metazoa
Yponomeuta padella	GCA_947311065.1	metazoa
Zerene cesonia	GCA_012273895.2	metazoa
Zerene cesonia	GCA_012273895.2	metazoa
